row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,ProcessBlank_1.mzXML Peak area,ProcessBlank_2.mzXML Peak area,Marathon_LyphilizedFilter_2.mzXML Peak area,Marathon_LyphilizedFilter_1.mzXML Peak area,Unnamed: 17
27862,57.070001103842834,17.364817,area,,,,185.0,2111.0,[M+2H]+2,,2.0,27872;27862,112.12559,145.498,182.69888,666.26,597.1196,
14291,69.03344666683223,6.56155,area,,,,185.0,1222.0,[M+H-H2O]+,,2.0,14327;14291,86.03656,0.0,0.0,399.4006,443.76666,
24861,73.17083289529694,14.708651,area,,,,185.0,1904.0,[M+Na]+,,2.0,24916;24861,50.1812,0.0,0.0,404.2776,446.12747,
2385,80.94652597461709,1.4585459,area,,,,185.0,135.0,[M+Na]+,,2.0,2389;2385,57.95744,27.394947,77.09684,4393.9478,4122.7305,
2386,82.94402430663675,1.4194889,area,,,,185.0,98.0,[M+Na]+,,2.0,2386;2314,59.95468,0.0,62.88044,1542.7144,1583.7208,
24916,83.3582873030303,14.725875,area,,,,185.0,1904.0,[2M+H-H2O]+,,2.0,24916;24861,50.1812,0.0,0.0,319.5406,442.375,
4711,84.08041852530118,2.5734,area,,,,185.0,582.0,[M+H]+,,2.0,4711;4890,83.07259,0.0,0.0,563.2259,926.1084,
4865,85.02786906921222,2.5699916,area,,,,185.0,554.0,[M+H-H2O]+,,3.0,4870;4865;4908,102.03132,23.227093,20.429993,378.93185,440.82767,
5354,85.06433835022825,2.6902084,area,,,,185.0,726.0,[M+H]+,,2.0,5354;8150,84.05672,25.444424,47.565647,1098.82,1353.3359,
27280,85.10075555044483,17.039253,area,,,,185.0,2087.0,[M+NH4]+,,2.0,27280;27303,67.06649,25.333023,51.896957,675.58203,1493.6733,
4712,86.05966539783667,2.571211,area,,,,185.0,545.0,[M+H-H2O]+,,2.0,4712;4720,103.06364,0.0,37.700474,536.22595,377.3515,
4068,86.05968395980139,2.0255418,area,,,,185.0,444.0,[M+Na]+,,2.0,4068;4099,63.06963,0.0,0.0,1823.5962,1510.4125,
4668,86.09591947432519,2.5698082,area,,,,185.0,612.0,[M+NH4]+,,2.0,4674;4668,68.06262,428.5898,502.15384,1947.887,3704.6536,
18412,87.04351224759603,8.923788,area,,,,185.0,1476.0,[M+2H]+2,,2.0,18412;18415,172.07247,27.350956,22.634226,672.46796,377.5498,
4866,87.04361858870159,2.56115,area,,,,185.0,543.0,[M+2H]+2,,2.0,4866;4751,172.07276,152.0917,207.27528,326.1145,390.42816,
2389,96.92072699115764,1.4309611,area,,,,185.0,114.0,[M+Na]+,,2.0,2389;2272,73.93173,0.0,116.99407,2747.3098,2825.006,
2314,98.91771820562398,1.3474584,area,,,,185.0,93.0,[M+Na]+,,2.0,2187;2314,75.92877,19.048378,66.423325,1157.5966,1136.9022,
4713,99.09151002860143,2.5734,area,,,,185.0,569.0,[M+NH4]+,,2.0,4713;4736,81.05746,0.0,0.0,527.754,602.02606,
28090,99.11649185353686,17.639439,area,,,,185.0,2130.0,[M+H]+,,2.0,28100;28090,98.10959,24.27638,21.798122,322.4309,228.05052,
27296,99.11655566028024,16.91856,area,,,,185.0,2076.0,[M+NH4]+,,2.0,27296;27308,81.08216,23.596275,24.596998,680.78796,580.2094,
4714,100.07514358090086,2.5783708,area,,,,185.0,611.0,[M+2H]+2,,2.0,4714;4762,198.13554,51.88942,35.868885,1016.8957,1541.0762,
4070,100.07528365530952,2.0584333,area,,,,185.0,467.0,[M+H]+,,3.0,4075;4070;4131,99.06791,0.0,37.37358,3175.9724,3171.4363,
34979,100.1114268572604,24.009424,area,,,,38.0,,,,,,,59919.867,21151.0,6071.1245,7310.7,
27570,106.08999895622762,17.11465,area,,,,185.0,2094.0,[M+H]+,,1.0,27571,105.0825,0.0,0.0,256.04855,252.9331,
671,106.9499759524523,1.3900124,area,,,,185.0,102.0,[M+Na]+,,2.0,671;2011,83.9608,436.50018,286.7636,20074.3,22713.482,
4523,107.96614925149056,2.3647583,area,,,,185.0,528.0,[M+Na]+,,2.0,4524;4523,84.97695,90.52338,110.24532,2772.1907,2840.531,
2683,107.96634420944292,1.6640708,area,,,,185.0,225.0,[M+Na]+,,2.0,2683;2684,84.97704,26.782967,26.47146,47695.14,45661.965,
1885,108.9489727258316,1.3391333,area,,,,185.0,60.0,[M+Na]+,,2.0,1885;1875,85.9596,0.0,82.35172,1545.848,1747.1927,
14209,109.100629689059,6.6543336,area,,,,185.0,,,,,,,145.03793,81.468735,4418.4155,4701.639,
167,110.00808886386586,1.0043833,area,,,,185.0,,,,,,,2205.6787,649.40814,8339.027,13929.435,
215,112.00556643747773,1.1671417,area,,,,185.0,11.0,[M+Na]+,,2.0,172;215,89.01631,120.05136,75.50653,866.3913,2037.7338,
4071,112.05002868659096,2.0255418,area,,,,185.0,445.0,[M+H]+,,2.0,4083;4071,111.0427,0.0,0.0,1539.9573,1273.133,
4868,112.07554020345394,2.5708,area,,,,185.0,625.0,[M+H-H2O]+,,3.0,4868;4934;4731,129.07909,18.732494,0.0,372.60657,592.44073,
4715,112.08634987941734,2.5593278,area,,,,185.0,568.0,[M+NH4]+,,2.0,4715;4681,94.05197,18.636486,0.0,2871.9473,5810.677,
2272,112.89511721604458,1.3851889,area,,,,185.0,114.0,[M+K]+,,2.0,2389;2272,73.93173,0.0,62.98428,1459.3475,1374.192,
4674,113.03429568914984,2.5784209,area,,,,185.0,617.0,[M+Na]+,,2.0,4674;4746,90.04452,22.4243,54.68448,314.19937,196.29008,
6346,113.05903364380646,3.0582,area,,,,185.0,719.0,[M+H-H2O]+,,2.0,6349;6346,130.0623,170.84348,172.11877,4036.4565,4485.32,
4035,113.10679304941856,2.0083919,area,,,,185.0,427.0,[M+H-H2O]+,,3.0,4035;4050;4157,130.11051,0.0,0.0,344.46643,657.73376,
27297,113.13176952306571,16.807796,area,,,,185.0,2067.0,[M+NH4]+,,2.0,27312;27297,95.09752,58.319454,169.90567,849.5675,960.9551,
4716,114.0550459485718,2.5612042,area,,,,185.0,544.0,[M+H-H2O]+,,2.0,4716;4805,131.05848,49.555485,45.285233,355.32162,236.21716,
4173,114.06556904217535,2.00845,area,,,,185.0,433.0,[M+H]+,,1.0,4084,113.05829,0.0,0.0,540.40216,559.2082,
4073,114.09065835092592,1.9719334,area,,,,185.0,416.0,[M+2H]+2,,2.0,4146;4073,226.16664,89.646454,207.06538,943.2544,1257.1622,
5866,114.09068827172544,2.8869333,area,,,,185.0,678.0,[M+H]+,,2.0,5866;5819,113.08384,740.7466,920.4259,7260.1724,10403.2705,
2187,114.89219377957382,1.4080557,area,,,,185.0,93.0,[M+K]+,,2.0,2187;2314,75.92877,0.0,46.810085,629.97736,685.1031,
24,114.97042732702894,0.7826667,area,,,,1.0,,,,,,,555.5858,170.48523,1230.657,1541.2928,
4036,115.0860202133128,2.0083919,area,,,,185.0,466.0,[M+NH4]+,,2.0,4036;4106,97.05187,0.0,0.0,948.0833,617.57947,
4075,117.1017106533282,2.0255418,area,,,,185.0,467.0,[M+NH4]+,,3.0,4075;4070;4108,99.06791,0.0,0.0,2083.4336,2226.047,
2608,118.0855228884256,1.6387084,area,,,,185.0,,,,,,,5466.7583,4377.0166,1623.6014,1402.0756,
4718,118.08576004244088,2.5187833,area,,,,185.0,538.0,[M+Na]+,,2.0,4718;4911,95.09578,62.13022,163.88432,1553.586,2349.2688,
10368,119.06979823105176,4.843275,area,,,,185.0,1062.0,[M+H-H2O]+,,2.0,10368;10370,136.07339,0.0,0.0,570.4878,594.43164,
4870,120.065168342714,2.5560832,area,,,,185.0,554.0,[M+NH4]+,,2.0,4870;4865,102.03132,0.0,0.0,210.2,274.7915,
2469,120.98644357903812,1.442439,area,,,,185.0,153.0,[M+Na]+,,2.0,2469;2411,97.99728,0.0,44.26637,2421.4873,2596.4797,
6687,121.02798579433014,3.2962499,area,,,,185.0,748.0,[M+H-H2O]+,,2.0,6687;6717,138.03064,0.0,0.0,249.33774,178.58737,
33241,121.96527101594788,21.289913,area,,,,185.0,,,,,,,141697.3,344553.53,42322.57,49966.49,
10589,122.05955426109634,4.9461746,area,,,,185.0,,,,,,,0.0,0.0,6594.441,9121.125,
4076,122.0707450240321,2.0255418,area,,,,185.0,414.0,[M+H]+,,2.0,4076;4086,121.0633,0.0,0.0,1767.2709,1721.944,
2011,122.92409722056082,1.3987042,area,,,,185.0,102.0,[M+K]+,,3.0,671;1868;2011,83.9608,17.44638,17.866327,7660.428,9211.98,
27571,123.11609345041268,17.159271,area,,,,185.0,2094.0,[M+NH4]+,,2.0,27571;27570,105.0825,111.29222,165.35011,2486.3586,4015.6472,
2684,123.94010946667652,1.579525,area,,,,185.0,214.0,[M+Na]+,,2.0,2686;2684,100.95084,0.0,0.0,16154.1875,17163.445,
4524,123.94012764321562,2.3678164,area,,,,185.0,529.0,[M+Na]+,,2.0,4524;4525,100.95095,0.0,0.0,1044.0565,857.91254,
33254,123.9634988961332,21.247112,area,,,,185.0,,,,,,,68335.195,166540.84,57074.6,23386.77,
4675,124.07497569836252,2.571211,area,,,,185.0,626.0,[M+NH4]+,,2.0,4771;4675,106.04085,0.0,29.310875,343.42303,663.68066,
4077,124.07508800151224,2.0255418,area,,,,185.0,441.0,[M+H]+,,3.0,4077;4190;4087,123.06739,0.0,0.0,365.34747,256.9862,
33322,124.08607960406624,21.281301,area,,,,185.0,,,,,,,160799.72,143302.33,10676.936,26634.613,
1875,124.92260191983932,1.2934111,area,,,,185.0,60.0,[M+K]+,,2.0,1885;1875,85.9596,0.0,34.35617,1356.9243,1319.8567,
2626,125.93718666958272,1.4539334,area,,,,185.0,158.0,[M+Na]+,,2.0,2612;2626,102.94844,0.0,17.952469,1262.1309,980.64856,
3760,125.9854944625434,1.8525167,area,,,,149.0,,,,,,,11335.407,11760.096,1819.0576,1185.1812,
4720,126.05353535273726,2.5526457,area,,,,185.0,545.0,[M+Na]+,,2.0,4712;4720,103.06364,23.090057,47.65493,1093.2971,1286.4515,
4078,126.09033703176227,1.8783543,area,,,,185.0,399.0,[M+H]+,,1.0,4088,125.08302,18.121584,21.309738,564.35455,558.9155,
4872,126.09049255110764,2.5485113,area,,,,185.0,540.0,[M+2H]+2,,2.0,4797;4872,250.16579,0.0,24.907028,346.5388,510.29657,
14098,127.01510869840648,6.424183,area,,,,66.0,,,,,,,0.0,2690.3672,110.5576,77.2771,
4620,127.0363193016458,2.4925916,area,,,,185.0,,,,,,,615.4714,684.7649,10960.566,12591.201,
3954,127.03661580201432,1.784475,area,,,,185.0,,,,,,,50.77751,304.3656,11345.036,11707.397,
9855,127.07481721231086,4.564204,area,,,,185.0,1031.0,[M+H-H2O]+,,2.0,9855;9964,144.07846,56.119938,72.347725,2487.5093,3256.0415,
32065,127.1109771567034,20.596924,area,,,,185.0,,,,,,,531.83307,357.2101,10967.668,11009.054,
31182,127.1110024915432,20.091425,area,,,,185.0,,,,,,,269.42505,308.7178,11290.744,11849.145,
216,128.01851941592452,1.0471667,area,,,,185.0,,,,,,,1691.128,1374.5623,7460.332,15266.409,
4721,128.07011391354052,2.5526457,area,,,,185.0,567.0,[M+H-H2O]+,,2.0,5085;4721,145.07371,89.24778,172.32092,1123.7494,792.2438,
34888,128.14253980605278,24.068958,area,,,,187.0,,,,,,,65132.18,46910.87,4025.488,9664.814,
5246,129.05201233957774,2.6558292,area,,,,185.0,641.0,[M+H-H2O]+,,2.0,5246;5248,146.05646,1447.721,4393.3647,11390.082,13924.701,
4080,129.10191770368328,2.0060625,area,,,,185.0,423.0,[M+H-H2O]+,,2.0,4080;4102,146.10559,25.084435,27.176762,15923.6,16874.443,
4217,129.13811506109306,2.0598168,area,,,,185.0,426.0,[M+H]+,,1.0,4242,128.13057,0.0,0.0,776.8015,861.6685,
6347,131.06973353005856,3.0974667,area,,,,185.0,719.0,[M+H]+,,3.0,6312;6347;6349,130.0623,0.0,22.426777,665.3692,595.9101,
4082,131.11726519086017,2.0255418,area,,,,185.0,427.0,[M+H]+,,3.0,4082;4050;4157,130.11051,0.0,0.0,6068.553,4189.2505,
32990,131.96086081143017,21.23022,area,,,,185.0,,,,,,,112216.02,277938.9,102175.586,36991.848,
32831,133.95904965681385,21.204533,area,,,,185.0,,,,,,,53204.477,133817.88,10531.807,16018.816,
4083,134.0318632822553,2.0255418,area,,,,185.0,445.0,[M+Na]+,,2.0,4071;4083,111.0427,0.0,0.0,1195.5173,781.7805,
4874,134.09568684672377,2.5734,area,,,,185.0,583.0,[M+H-H2O]+,,2.0,4874;4741,151.09878,0.0,0.0,831.8642,1281.0063,
2823,135.00204840447634,1.7067708,area,,,,185.0,245.0,[M+Na]+,,2.0,2823;2824,112.01278,87.3847,140.67729,17000.91,15840.506,
17287,135.0799520815804,8.06788,area,,,,185.0,,,,,,,29.465973,183.84984,170233.34,147941.52,
5081,135.10061789858153,2.595829,area,,,,185.0,634.0,[M+H]+,,2.0,5083;5081,134.09369,2351.1672,2452.4094,948.6205,370.6068,
4084,136.0474987485435,2.0255418,area,,,,185.0,433.0,[M+Na]+,,2.0,4084;4173,113.05829,0.0,0.0,415.63116,512.2533,
5819,136.0734905995983,2.80175,area,,,,185.0,678.0,[M+Na]+,,2.0,5866;5819,113.08384,203.20975,198.96954,1481.5005,1063.7502,
6688,138.05321656122948,3.3148835,area,,,,185.0,757.0,[M+NH4]+,,2.0,6687;6688,120.02005,47.79393,30.005579,523.2616,572.24585,
6746,139.03724298016587,3.203996,area,,,,185.0,748.0,[M+H]+,,2.0,6746;6717,138.03064,21.935017,31.787212,1141.1189,1104.4312,
2865,139.0491743484253,1.7587334,area,,,,,,,,,,,959.0076,790.16296,882.1677,324.8977,
5633,139.07449339598523,2.7422748,area,,,,185.0,682.0,[M+H]+,,2.0,5633;5984,138.06702,185.341,198.09567,3416.6172,5335.043,
4086,139.09696249624886,1.9294,area,,,,185.0,414.0,[M+NH4]+,,2.0,4076;4086,121.0633,20.436638,42.317497,2561.927,2470.413,
33568,139.1220148207478,21.401104,area,,,,185.0,,,,,,,58256.402,160577.72,18771.2,69580.89,
2686,139.91395242610113,1.579525,area,,,,185.0,214.0,[M+K]+,,2.0,2686;2684,100.95084,0.0,0.0,8001.7305,8406.389,
4525,139.9141498582906,2.3678164,area,,,,185.0,529.0,[M+K]+,,2.0,4524;4525,100.95095,0.0,0.0,560.7681,549.081,
2282,140.0674887867393,1.4843,area,,,,185.0,,,,,,,1166.7712,438.9404,6090.2363,5460.478,
4726,140.0689462540409,2.5782917,area,,,,185.0,618.0,[M+NH4]+,,2.0,4726;4681,122.03488,91.064285,179.18901,1006.9275,1044.6211,
10522,141.09025719865343,4.7874794,area,,,,185.0,1057.0,[M+H-H2O]+,,2.0,10524;10522,158.09327,125.48102,134.57051,1778.0903,3040.6401,
4087,141.101446186871,2.0255418,area,,,,185.0,441.0,[M+NH4]+,,2.0,4077;4087,123.06739,0.0,0.0,2878.1853,2544.355,
35329,141.13766087448653,24.486225,area,,,,187.0,,,,,,,33704.605,20295.574,5306.9175,4430.6035,
35119,141.1376671229027,24.324684,area,,,,187.0,,,,,,,80329.336,26233.635,2281.317,11593.376,
2612,141.91207637019997,1.5622833,area,,,,185.0,158.0,[M+K]+,,2.0,2612;2626,102.94844,0.0,0.0,1131.1646,1181.3126,
3892,142.03404004228724,1.8886083,area,,,,185.0,402.0,[M+Na]+,,2.0,3892;3912,119.04564,0.0,0.0,570.8443,615.5295,
34980,142.15800049919957,24.043438,area,,,,38.0,,,,,,,71041.06,25473.738,7042.3564,12599.8,
1741,142.93746192900792,1.4496999,area,,,,185.0,123.0,[M+H]+,,2.0,2007;1742,141.93017,60.959667,201.02206,1291.282,1191.9835,
4557,142.93788909299468,2.4190917,area,,,,185.0,536.0,[M+H]+,,1.0,4559,141.93057,0.0,0.0,455.66452,516.7197,
