row ID,row m/z,row retention time,intensity_measure,AlgCoPs_Plate1_Well_L6_P1-B-2_01_22929.mzXML Peak area,AlgCoPs_Plate1_Well_L16_P1-B-4_01_22931.mzXML Peak area,AlgaeCoVibrio_Plate1_Well_L10_P1-A-8_01_22925.mzXML Peak area,AlgaeCoVibrio_Plate1_Well_L8_P1-A-7_01_22924.mzXML Peak area,AlgMedVibMono_Plate2_Well_L9_P1-A-7_01_22879.mzXML Peak area,AlgMedPsMono_Plate2_Well_L6_P1-B-2_01_22882.mzXML Peak area,HalCoAlgae_Plate1_Well_U7_P1-D-6_01_22957.mzXML Peak area,BacMediaAlgaMonoPlate1_WellU13_P1-C-3_01_22940.mzXML Peak area,AlgMedPsMono_Plate2_Well_L3_P1-B-1_01_22881.mzXML Peak area,BacMediaAlgaMonoPlate1_WellU15_P1-C-4_01_22941.mzXML Peak area,HalCoAlgae_Plate1_Well_U2_P1-D-5_01_22956.mzXML Peak area,AlgMedVibMono_Plate2_Well_L8_P1-A-6_01_22878.mzXML Peak area,AlgaeMono_Plate1_Well_L15_P1-A-4_01_22920.mzXML Peak area,HalMono_Plate2_Well_U5_P1-D-5_01_22911.mzXML Peak area,AlgaeCoVibrio_Plate1_Well_L5_P1-A-6_01_22923.mzXML Peak area,BactMediaCntrl_Plate2_Well_U4_P1-C-2_01_22893.mzXML Peak area,AlgCoHalo_Plate1_Well_L7_P1-B-6_01_22934.mzXML Peak area,AlgaeMediaCntr_Plate2_Well_L13_P1-A-3_01_22867.mzXML Peak area,AlgCoPs_Plate1_Well_L1_P1-B-1_01_22928.mzXML Peak area,AlgMedHalMono_Plate2_Well_L5_P1-B-5_01_22886.mzXML Peak area,AlgCoPs_Plate1_Well_L11_P1-B-3_01_22930.mzXML Peak area,PsCoAlgae_Plate1_Well_U1_P1-D-1_01_22951.mzXML Peak area,AlgCoHalo_Plate1_Well_L14_P1-B-8_01_22936.mzXML Peak area,HalMono_Plate2_Well_U10_P1-D-7_01_22913.mzXML Peak area,PsMono_Plate2_Well_U14_P1-D-4_01_22909.mzXML Peak area,HalMono_Plate2_Well_U15_P1-D-8_01_22914.mzXML Peak area,AlgaeMono_Plate1_Well_L4_P1-A-1_01_22917.mzXML Peak area,VibCoAlgae_Plate1_Well_U3_P1-C-5_01_22945.mzXML Peak area,PsCoAlgae_Plate1_Well_U16_P1-D-4_01_22954.mzXML Peak area,AlgaeCoVibrio_Plate1_Well_L3_P1-A-5_01_22922.mzXML Peak area,PsMono_Plate2_Well_U12_P1-D-3_01_22908.mzXML Peak area,VibMono_Plate2_Well_U2_P1-C-5_01_22897.mzXML Peak area,BactMediaCntrl_Plate2_Well_U16_P1-C-4_01_22895.mzXML Peak area,VibMono_Plate2_Well_U8_P1-C-6_01_22898.mzXML Peak area,HalMono_Plate2_Well_U7_P1-D-6_01_22912.mzXML Peak area,VibCoAlgae_Plate1_Well_U8_P1-C-7_01_22947.mzXML Peak area,BacMediaAlgaMonoPlate1_Well_U4_P1-C-1_01_22938.mzXML Peak area,PsCoAlgae_Plate1_Well_U11_P1-D-3_01_22953.mzXML Peak area,AlgCoHalo_Plate1_Well_L12_P1-B-7_01_22935.mzXML Peak area,PsMono_Plate2_Well_U3_P1-D-1_01_22906.mzXML Peak area,VibCoAlgae_Plate1_Well_U5_P1-C-6_01_22946.mzXML Peak area,AlgMedHalMono_Plate2_Well_L15_P1-B-8_01_22889.mzXML Peak area,VibMono_Plate2_Well_U9_P1-C-7_01_22899.mzXML Peak area,PsCoAlgae_Plate1_Well_U6_P1-D-2_01_22952.mzXML Peak area,AlgCoHalo_Plate1_Well_L2_P1-B-5_01_22933.mzXML Peak area,VibCoAlgae_Plate1_Well_U10_P1-C-8_01_22948.mzXML Peak area,BactMediaCntrl_Plate2_Well_U1_P1-C-1_01_22892.mzXML Peak area,VibMono_Plate2_Well_U11_P1-C-8_01_22900.mzXML Peak area,AlgaeMono_Plate1_Well_L9_P1-A-2_01_22918.mzXML Peak area,HalCoAlgae_Plate1_Well_U14_P1-D-7_01_22958.mzXML Peak area,BactMediaCntrl_Plate2_Well_U13_P1-C-3_01_22894.mzXML Peak area,BacMediaAlgaMonoPlate1_Well_U9_P1-C-2_01_22939.mzXML Peak area,PsMono_Plate2_Well_U6_P1-D-2_01_22907.mzXML Peak area,AlgMedVibMono_Plate2_Well_L11_P1-A-8_01_22880.mzXML Peak area,AlgMedHalMono_Plate2_Well_L7_P1-B-6_01_22887.mzXML Peak area,AlgMedPsMono_Plate2_Well_L14_P1-B-4_01_22884.mzXML Peak area,AlgMedVibMono_Plate2_Well_L2_P1-A-5_01_22877.mzXML Peak area,AlgMedHalMono_Plate2_Well_L10_P1-B-7_01_22888.mzXML Peak area,AlgaeMono_Plate1_Well_L13_P1-A-3_01_22919.mzXML Peak area,AlgaeMediaCntrl_Plate2_Well_L1_P1-A-1_01_22873.mzXML Peak area,AlgMedPsMono_Plate2_Well_L12_P1-B-3_01_22883.mzXML Peak area,AlgaeMediaCntr_Plate2_Well_L16_P1-A-4_01_22870.mzXML Peak area,AlgaeMediaCntr_Plate2_Well_L4_P1-A-2_01_22866.mzXML Peak area,AlgaeMediaCntrl_Plate2_Well_L1_P1-A-1_01_22865.mzXML Peak area,Unnamed: 67
1,282.2788070928856,15.934356284153004,area,61682935.51800015,66025329.06499986,83079786.79399993,93941763.9170002,61490767.83999997,67818944.23799984,76970813.5009998,32901390.641499992,82147882.06100053,77491391.29050007,59160807.42599983,87520151.56999975,41745425.95899992,33963837.10349994,58895537.98400025,85012871.96699971,80069500.59999998,48703506.34350017,74199771.41499998,86303918.13450004,60002939.28550016,56700551.61199999,37015016.50800023,58272202.97249992,84593558.6319998,71890738.17700018,63117601.6489998,59441575.08900012,43465802.2685,80449449.0509999,82773915.90850009,83260250.21450041,30272486.40250018,59211152.77500004,54176900.03049979,44314516.37450029,27528040.414500084,40848001.498500176,42537982.84649995,78435106.19550017,37188029.503499866,76809490.00000007,62674179.13449965,32115350.82649994,48572157.42500017,59746310.82600029,38359339.280000135,84716876.46749996,62364435.07849998,27815610.55950001,65479859.848999895,31539978.674999986,80380316.32050003,96483465.62350006,0.0,64688397.70899987,71501350.9459999,64358568.02450022,40475232.68049978,88211990.32550003,0.0,0.0,32679371.031499792,87692074.03850006,
2,256.2631180374711,15.530246913580246,area,20257647.710499987,18447567.44749997,19116500.57800013,22227436.18649997,22445786.80500013,0.0,25208338.26350009,11293646.69550003,40018971.97599992,26955873.923500065,17633953.800500013,30649181.923499946,12128917.11599996,24902530.148999996,0.0,23612863.913000032,21018112.23900002,28399373.53749992,0.0,24141768.741000105,14798523.394500064,19175519.533000022,12386722.160500005,14786087.464500036,24680308.887999937,32209472.748999976,17718704.575000092,0.0,9936794.831500014,0.0,24908199.64049994,25546943.411,26882600.65500008,26869601.912500136,25834138.25099996,18259216.169999994,21811969.13600001,10463139.371000024,11404840.548499985,26941600.865999937,13708180.464499936,23404729.125999957,24869240.223999903,17340229.537999976,19084875.98199989,16865566.098499972,28856431.10099995,24988026.0835,15471484.039499983,8043248.353000004,20428060.73600001,15012292.659999982,29708706.77049993,29050577.54600002,23763121.207999967,0.0,24639632.795499988,0.0,10471801.11100002,31514369.37600007,0.0,0.0,0.0,32131061.257000107,
3,340.35639105902777,20.161957671957666,area,9454563.417999947,9305346.604000015,12168574.81899996,8557781.57999999,4594462.549000038,12846781.035999851,9463898.663499914,13187788.189,14364871.651000155,14706669.4159999,13734014.393499978,7637874.418499966,8574074.83099996,13352741.566499949,11582702.57849998,8421708.81800011,9313788.441500006,5368025.697500077,8007186.712499855,7340080.85399997,11935786.95850004,12480457.47500011,7231467.976999903,18684843.42999985,19104994.55000012,18218994.05599996,7311844.500499946,10586900.92699989,8281725.176499965,5058979.695999914,13526942.01300021,8684362.780499907,11379007.665000075,12230673.598000066,18614895.11049986,13993192.238499856,0.0,8707465.35100005,5835988.372500038,28578024.78349996,8309674.769999956,15059563.877999973,10685966.829000143,15756518.967499996,18195152.783000056,9076124.241000136,22088829.202499814,14094276.7804999,9813882.027499888,6630666.609499915,13885249.731000043,9475907.444999874,21385618.36799973,16666691.370000057,16503988.816000069,19573293.185500164,13650548.66450021,24518182.32899974,12077571.46200006,11578212.167000163,13444827.528999992,23658792.269000147,15064213.00500004,12893356.26650002,
4,312.32566324869794,19.061696604938263,area,11758051.597999975,14151619.41749996,12625435.635499945,2222976.056500011,0.0,32367072.66249965,28715419.419500448,12734831.77699996,5541743.308999924,20464614.696500037,14683482.447999973,0.0,9740384.938999947,22868082.05850005,8858206.898000073,6673822.92249998,0.0,0.0,8017471.374499946,4764605.134500016,8530542.208500033,30631575.27550018,5330007.548499981,9454990.979500126,14759912.867500002,14853239.250500072,7512014.360999915,29813620.345999736,7209792.629499924,8283282.881000038,0.0,8413240.528500015,17218913.881499965,10035271.085000046,12436370.225499945,28773225.024499893,54532511.64200036,8327159.747000015,5003462.738000001,0.0,25482813.436999746,0.0,9836879.173500128,42645663.53600009,14801457.569000106,22573653.32599993,0.0,14872762.793499956,6869147.873499956,6843849.498000026,12960680.696499769,31926538.683499847,17353555.89200019,2717687.246500064,6172714.630999969,55447006.08900093,6747992.388999981,44924390.50150024,6010916.567000066,0.0,38484193.31000019,29290519.858499706,40120702.98600008,0.0,
5,366.3726198673248,20.22309609375,area,7901220.893500075,6688551.875000101,11356533.302500203,7052176.445499977,2366963.7400000114,8360478.218500127,5673570.080500021,8817903.835500114,12591241.092999732,10973189.402500236,11163035.666999966,6684082.895500004,6070026.87349991,7524260.386500055,10078482.242000047,5436347.21500001,8573033.131999968,3820128.896999995,5218335.039000061,6473051.631000095,9222633.818500172,7739808.340500005,5121617.319999959,8032351.979000064,13240184.959499704,11706948.168999854,6729935.742500045,4593405.59800005,5816546.002000059,3257579.7695,11428859.63249995,5391526.171000026,3494385.9790000347,7231117.148499893,13276580.72200002,9874826.841000104,5188998.589499937,5967665.399000016,3884442.326999933,20511598.350999977,3633066.844000057,8277144.723999976,6125778.226499987,8641419.5215002,10373422.56049998,5608996.884999926,17272400.388000134,9285554.815000089,8518601.22050003,4227879.936999967,7775031.998000016,4528869.852000035,14573514.105500018,10237703.446999948,9214687.575499866,14038749.016499933,5360209.894500015,14769355.198000235,6858950.142499976,8328451.063499802,9571854.936999958,20202438.89750026,9787547.804999778,9679468.974999942,
6,310.3100800147423,17.473195833333328,area,12875796.468000052,13777301.954500075,23421911.914999902,9858576.974500043,4716391.29399997,0.0,0.0,16021817.281000027,21256781.44300014,18600179.41000017,19387946.986999832,12897406.293499976,9539443.468500054,17538134.108999904,18071877.737500187,9405139.705499964,12511994.566499976,5435163.206499999,7308914.773500042,11667631.907999964,17146484.136000004,19469491.960500263,6949410.469499975,14768695.692500066,19439577.909499943,14063130.773500184,10067071.847,0.0,9811077.065499963,6986195.762999946,15414010.370500144,11506752.164499989,7450131.462000025,11076168.968500044,23738001.422499955,20633771.40999997,0.0,10460684.450000033,7403294.39699994,33826014.902499974,0.0,14362578.148500152,11700267.811000029,0.0,12707165.107999912,0.0,25450989.605500016,17806981.34649998,14532813.150000004,6750853.199500038,11658351.99750004,0.0,20581288.373000227,14367513.483500132,13298168.494999988,0.0,11471344.681999912,0.0,9769400.323000005,12753784.481499974,0.0,37547001.13399997,0.0,13646204.750500116,
7,284.2943900779442,17.455354320987652,area,15300679.48149999,18013379.08799995,17830684.519000035,0.0,0.0,42299267.16350017,30309285.6745003,12395358.572500044,0.0,23650411.339000136,16275846.618499912,0.0,11709625.145500058,23140749.501999896,0.0,0.0,0.0,0.0,12502590.539000005,0.0,0.0,29207799.525500152,0.0,0.0,0.0,0.0,0.0,29336472.560999934,8135642.683,13681493.443000035,0.0,0.0,19363082.72350008,0.0,0.0,27120650.36899996,0.0,9507186.321500013,0.0,0.0,22605720.813000023,0.0,0.0,34553359.42750038,13794639.892499955,22870790.02099992,0.0,0.0,0.0,7082557.44600002,15374920.911500093,28464941.29399992,22011122.74700002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43775982.707999736,0.0,0.0,
8,444.2695318368765,8.074881410256411,area,6590558.163000085,4928895.783000043,0.0,0.0,0.0,5119385.361500005,0.0,0.0,6122009.499499966,0.0,1813609.047999995,264919.9519999998,0.0,394080.6070000043,0.0,0.0,0.0,0.0,17745813.522500217,3166744.5079999343,16277028.419500194,3669328.619499992,0.0,368654.456999998,1933486.102499983,340930.5399999975,0.0,0.0,0.0,0.0,3900150.3764999774,0.0,0.0,0.0,564639.0499999973,0.0,0.0,852011.529999999,0.0,577048.2985000071,0.0,3503093.924000014,0.0,2550372.195000002,282363.9795000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2279591.6290000174,0.0,2015614.193500019,5359418.760499949,0.0,3688695.756500024,0.0,0.0,10784226.169500032,0.0,0.0,0.0,
9,261.1236095081676,2.02768,area,13968182.687499993,457908.5745000001,46321078.68200005,32873058.890000004,47231479.33650005,7993938.750500003,8744279.226499999,4877826.033499998,525088.4144999996,6731876.365000006,3155667.6659999997,49066539.01449998,37138402.6075,774400.555,49652033.249499984,4241034.197499998,33697372.9755,49219632.99849998,98926.53100000044,56709252.54050001,840703.2250000001,0.0,49314940.50499996,882134.8709999999,0.0,1424729.6919999996,49508178.34300001,4186315.760999999,0.0,45310405.72450001,0.0,1391521.1404999995,0.0,8614723.458500002,3679063.5225,6610133.4745,5882524.149000003,0.0,44278181.10699999,0.0,3790631.249500004,49722320.49199996,13515741.3955,0.0,57953134.16700002,7835479.191,7782342.7509999955,13914133.389499998,50022613.84549995,7009940.651999996,9337996.729,8544375.425999995,0.0,48190610.73150006,45964562.72250002,2007197.3950000005,54382074.6185,53161327.99,33778880.33650003,54539375.971999966,532720.916,38714779.7375,41732376.61599999,55767265.89450001,
10,531.2739496231079,11.289178385416667,area,3761708.9930000072,2567832.0600000243,2768198.558000007,1415738.63500002,986278.0594999988,801474.8850000069,1305603.428999998,821790.3964999942,1003920.0869999937,806083.1579999924,1836661.5844999684,3243480.701499991,2320495.902000009,2679676.8060000143,1309895.8864999826,2118124.7029999937,8075.384000000196,2102257.6915000225,2757935.704000001,3655651.364500007,827082.2600000012,2913837.2095000152,519990.9305000041,4375442.062500003,3104698.669999978,1694517.2450000143,2141892.365000002,1509294.982999981,2217568.1785000013,1441679.534000008,2432055.169999985,6890477.66400006,6361701.33700003,3331539.0385000096,3609814.11550005,1518923.3870000164,1255260.4630000084,2942790.707999972,2468775.7710000006,7123996.872999999,1919562.73850001,2161154.0924999933,854314.6989999961,1758353.1800000172,6152893.045500021,2967823.204000029,2123716.538999999,822366.3025000028,1534087.0045000145,1335709.8194999832,2077984.5035000136,1019757.4105000033,2389989.0899999724,2318591.44699999,3069591.2200000235,2207556.477999996,4855914.360000046,2616701.2945000078,1402010.3560000006,3488011.6069999994,1269203.0974999892,8090979.845499903,2364643.9220000003,6146791.642499954,
